Room Number,Square Footage,Occupancy,Quality Score,Floorplan Score,,,,,,Singles Dorms,Doubles Dorms,,Location Rating,Description
BARBOUR HALL 106,265,2,0,0,,,,,,(1)     Barbour Hall,(10)  Babour Hall,,Hope,Right on Main Green by Faunce
BARBOUR HALL 108,283,2,0,0,,,,,,(26)  Chapin House,(26)  Chapin House,,Diman,"Right by Ratty, insulated from noise"
BARBOUR HALL 201,347,2,0,0,,,,,,(5)     Diman House,(14)  Diman House,,Goddard,Right on Patriot's Court below Diman
BARBOUR HALL 206,265,2,0,0,,,,,,(19)  Goddard House,(7)     Goddard House,,Marcy,"Between Wriston and Patriot's, potentially noisey"
BARBOUR HALL 208,283,2,0,0,,,,,,(83)  Grad Center B*,(22)  Gregorian Hall,,Littlefield,"Insultated, central location"
BARBOUR HALL 301,347,2,0,0,,,,,,(95)  Grad Center D,(21)  Hope College,,Chapin,On Thayer Street right below Ratty
BARBOUR HALL 302,262,2,0,0,,,,,,(4)     Hope College,(23)  Littlefield Hall,,Caswell,On Simmons Quad by Thayer
BARBOUR HALL 304,199,1,0,0,,,,,,(8)     Marcy House,(5)     Marcy House,,Sears,"Good location, but on Wriston and houses frat"
BARBOUR HALL 305,361,2,0,0,,,,,,(5)     Minden Hall*,(15)  Middle Caswell,,Olney,"Solid location on Wriston, houses Sigma Chi"
BARBOUR HALL 306,265,2,0,0,,,,,,(1)     New Pembroke,(13)   North Caswell,,Grad Center,"Far, south campus below Ratty"
BARBOUR HALL 308,283,2,0,0,,,,,,(11)  Olney House,(14)   South Caswell,,Gregorian,"Far, right outside Jo's"
CHAPIN HOUSE 109,133,1,0,0,,,,,,(2)     Perkins Hall,(19)   Minden Hall*,,Minden,"Past SciLi, decent location, socially isolated"
CHAPIN HOUSE 110,133,1,0,0,,,,,,(17)  Sears House,(9)      New Pembroke,,New Pembroke,"North campus, right on Thayer"
CHAPIN HOUSE 111,133,1,0,0,,,,,,,(15)   Olney House,,Barbour,Second farthest (south campus)
CHAPIN HOUSE 112,133,1,0,0,,,,,,*might be JrSr only,(93)   Perkins Hall,,Perkins,Farthest from everything (south campus)
CHAPIN HOUSE 113,219,2,0,0,,,,,,,(11)   Sears House,,,
CHAPIN HOUSE 114A,165,1,0,0,,,,,,Mark's room: 283,,,,
CHAPIN HOUSE 117,219,2,0,0,,,,,,Ben's room: 238,,,,
CHAPIN HOUSE 119,134,1,0,0,,,,,,,,,,
CHAPIN HOUSE 120,134,1,0,0,,,,,,,,,,
CHAPIN HOUSE 121,133,1,0,0,,,,,,,,,,
CHAPIN HOUSE 201,232,2,0,0,,,,,,,,,,
CHAPIN HOUSE 202,232,2,0,0,,,,,,,,,,
CHAPIN HOUSE 204,243,2,0,0,,,,,,,,,,
CHAPIN HOUSE 207,244,2,0,0,,,,,,,,,,
